author,month,no_of_ratings,opinions,position,rating,readers,title
Krzysztof Domaradzki,7/2020,771,252,20,"7,4",1754,Sprzedawca
Radosław Kotarski,6/2020,2873,366,37,"7,9",8232,Włam się do mózgu
Piotr Głuchowski,6/2020,527,59,38,"7,1",1394,Zatoka świń
Bożena Aksamit,6/2020,620,143,39,"7,2",1121,Zmysłowy anioł stróż
Kristen Ashley,6/2020,1330,424,40,"7,7",2757,Pokaż mi
Maria Paszyńska,6/2020,243,74,81,"7,3",761,Czas białych nocy
Paulina Hendel,6/2020,2421,492,82,"7,2",6581,Pusta noc
Adrian Bednarek,6/2020,558,197,83,"7,8",1069,Inspiracja
Katherine Center,6/2020,518,210,84,"7,6",866,"To, co bliskie sercu"
Agnieszka Lingas-Łoniewska,6/2020,653,127,85,"7,7",1178,Mars
Jennifer Niven,6/2020,3376,481,86,"8,2",9777,Wszystkie jasne miejsca
Cora Reilly,6/2020,871,116,87,"7,8",1554,Luca Vitiello
Stieg Larsson,6/2020,41584,3349,88,"8,2",67995,"Mężczyźni, którzy nienawidzą kobiet"
Brandon Sanderson,6/2020,8259,923,89,"8,7",21777,Droga Królów
Sylvain Reynard,6/2020,2164,290,90,"7,3",4195,Piekło Gabriela
Michaił Bułhakow,6/2020,2864,2854,91,"8,4",80814,Mistrz i Małgorzata
Yuval Noah Harari,6/2020,3298,339,92,"7,7",11372,21 lekcji na XXI wiek
Remigiusz Mróz,6/2020,3925,402,93,"7,4",6171,Ekstradycja
Jakub Małecki,6/2020,3936,678,94,"7,9",7544,Horyzont
Deborah Feldman,6/2020,1764,282,61,"7,3",3945,Unorthodox. Jak porzuciłam świat ortodoksyjnych Żydów
Leopold Tyrmand,6/2020,2343,553,41,"7,7",12176,Zły
Marta Dymek,6/2020,239,39,95,"8,6",706,Jadłonomia po polsku
Holly Black,6/2020,3728,506,96,"7,4",7918,Okrutny książę
Colleen Hoover,6/2020,1349,255,97,"7,8",3462,Gdyby nie ty
Laura Kneidl,6/2020,535,166,98,"7,4",1405,Someone new
Suzanne Collins,6/2020,43764,4201,99,"8,1",68572,Igrzyska śmierci
Cezary Głuch,6/2020,730,304,100,"9,3",1619,Inteligentny Inwestor XXI Wieku - Tom I
Samantha Young,6/2020,1118,193,62,"7,5",1968,Niedopasowani
Kristen Callihan,6/2020,1501,237,63,"7,6",6586,Biegnąca z wilkami
Clarissa Pinkola Estés,6/2020,1913,210,64,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Daniel Kahneman,6/2020,723,98,65,"7,4",4242,Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem
Nassim Nicholas Taleb,6/2020,1543,295,66,"7,4",2542,Rhys
Agnieszka Siepielska,6/2020,10978,1706,67,"7,4",18288,Żmijowisko
Wojciech Chmielarz,6/2020,4053,471,68,"7,5",9341,Genialna przyjaciółka
Elena Ferrante,6/2020,421,75,69,"7,2",821,Zakazana
Ella Fields,6/2020,1827,362,70,"7,1",3594,Oczy wilka
Alicja Sinicka,6/2020,11483,636,71,"7,9",27375,Nieznośna lekkość bytu
Milan Kundera,6/2020,16920,1088,72,"7,9",37718,Sto lat samotności
Sarah Brianne,6/2020,1227,206,42,"7,3",2454,Nero
Sarah Brianne,6/2020,719,102,43,"7,6",1270,Vincent
Charlie N. Holmberg,6/2020,510,162,44,"6,7",1622,Papierowy Mag
Joanna Gierak-Onoszko,6/2020,3962,574,45,"8,2",10531,27 śmierci Toby’ego Obeda
Chantal Fernando,6/2020,1172,161,46,"7,3",1899,Dragon's Lair
Wojtek Friedmann,6/2020,100,22,47,"7,2",313,Baśka
Julie Clark,6/2020,791,346,48,"7,4",1321,Ostatni lot
Anna Wolf,6/2020,1443,210,49,"7,5",2480,Zemsta gangstera
Hanya Yanagihara,6/2020,11234,1851,50,"7,8",28746,Małe życie
Agnieszka Lingas-Łoniewska,6/2020,1172,297,51,"7,3",1898,Kolacja z Tiffanym
Agnieszka Siepielska,6/2020,1185,208,52,"8,0",1896,Antonio
Alicja Sinicka,6/2020,1076,310,53,"7,3",2028,Obserwatorka
Ałbena Grabowska,6/2020,1006,149,54,"8,1",2338,Stulecie Winnych
K.A. Figaro,6/2020,318,63,55,"7,6",594,Dwie Drogi
Gabriel García Márquez,6/2020,14246,1939,73,"7,3",25303,Tatuażysta z Auschwitz
Heather Morris,6/2020,1652,252,74,"7,3",3341,Raw
Belle Aurora,6/2020,8186,1011,75,"7,8",15770,Dwór cierni i róż
Sarah J. Maas,6/2020,10436,1161,76,"7,7",21143,Szklany tron
Sarah J. Maas,6/2020,10980,716,77,"7,5",25495,Miłość w czasach zarazy
Gabriel García Márquez,6/2020,7355,971,78,"7,3",12382,Bezcenny
Zygmunt Miłoszewski,6/2020,10625,1316,79,"7,3",23169,Opowieść podręcznej
Margaret Atwood,6/2020,1119,135,80,"7,1",1922,Naga prawda
Harlan Coben,6/2020,9632,842,1,"7,4",18589,W głębi lasu
Rebecca Makkai,6/2020,1220,217,56,"7,8",4378,Wierzyliśmy jak nikt
Kristin Hannah,6/2020,8415,1266,57,"8,3",17094,Słowik
Éric-Emmanuel Schmitt,6/2020,5793,3275,58,"8,1",59516,Oskar i Pani Róża
Harper Lee,6/2020,13550,1063,59,"8,2",34963,Zabić drozda
Harlan Coben,6/2020,3806,1201,60,"7,6",29432,Nie mów nikomu
Alicja Sinicka,6/2020,2582,639,2,"6,9",5240,Stażystka
Carlos Ruiz Zafón,6/2020,44032,4214,3,"8,2",78725,Cień wiatru
Wojciech Chmielarz,6/2020,3507,903,4,"7,1",5388,Wyrwa
Zygmunt Miłoszewski,6/2020,2132,522,5,"6,7",4005,Kwestia ceny
Lew Tołstoj,6/2020,12057,767,6,"7,8",31588,Anna Karenina
Suzanne Collins,6/2020,2313,438,7,"7,6",5375,Ballada ptaków i węży
Remigiusz Mróz,6/2020,2406,380,8,"7,2",3870,Lot 202
Rafał A. Ziemkiewicz,6/2020,565,123,9,"7,2",962,Cham niezbuntowany
Delia Owens,6/2020,4412,751,10,"8,0",11621,Gdzie śpiewają raki
Alex Michaelides,6/2020,12495,1908,11,"7,4",21616,Pacjentka
Anna Wolf,6/2020,1103,168,12,"7,5",2000,Ryzyko gangstera
Anna Wolf,6/2020,2596,459,13,"7,1",4572,Serce gangstera
R.L. Mathewson,6/2020,741,123,14,"6,9",1341,Rozgrywka z sąsiadem
Lucinda Riley,6/2020,1564,453,15,"7,7",8882,Siedem sióstr
Meg Adams,6/2020,1046,232,16,"7,6",1924,Ochroniarz
Harlan Coben,6/2020,1373,842,17,"7,6",14527,W głębi lasu
Cora Reilly,6/2020,3100,363,18,"7,7",5369,Złączeni honorem
Sarah J. Maas,6/2020,1521,284,19,"7,6",3973,Dom ziemi i krwi. Część 1
Cora Reilly,6/2020,1492,179,20,"7,7",2623,Złączeni pokusą
Amor Towles,5/2020,1895,375,61,"8,0",5877,Dżentelmen w Moskwie
Stieg Larsson,5/2020,41584,3349,81,"8,2",67995,"Mężczyźni, którzy nienawidzą kobiet"
Jenny Blackhurst,5/2020,896,279,62,"6,8",1733,Ktoś tu kłamie
Shelby Mahurin,5/2020,1814,340,63,"7,4",4569,Gołąb i wąż
Anna Wolf,5/2020,1103,168,64,"7,5",2000,Ryzyko gangstera
Brandon Sanderson,5/2020,8259,923,65,"8,7",21777,Droga Królów
Fiodor Dostojewski,5/2020,5587,1681,66,"8,2",59875,Zbrodnia i kara
Wojciech Chmielarz,5/2020,10978,1706,67,"7,4",18288,Żmijowisko
Penelope Douglas,5/2020,1215,209,68,"7,2",2137,Corrupt
Kinga Litkowiec,5/2020,403,154,69,"7,6",1146,Nie mój dług
Sarah J. Maas,5/2020,8186,1011,70,"7,8",15770,Dwór cierni i róż
Olga Tokarczuk,5/2020,7553,823,82,"7,2",16389,Bieguni
Cora Reilly,5/2020,2232,235,83,"7,7",3522,Złączeni obowiązkiem
Janina Bąk,5/2020,1961,384,84,"6,7",3796,"Statystycznie rzecz biorąc, czyli ile trzeba zjeść czekolady, żeby dostać Nobla?"
Milan Kundera,5/2020,11483,636,85,"7,9",27375,Nieznośna lekkość bytu
Alix E. Harrow,5/2020,398,109,86,"7,2",2352,Dziesięć tysięcy drzwi
Łukasz Orbitowski,5/2020,2498,408,87,"7,7",5537,Kult
K.N. Haner,5/2020,1000,265,88,"7,1",2010,Złe miejsce
Yuval Noah Harari,5/2020,3152,330,89,"8,0",10957,Homo deus. Krótka historia jutra
Olga Tokarczuk,5/2020,3006,571,90,"7,8",11238,Księgi Jakubowe
Melissa Darwood,5/2020,1081,263,91,"8,2",1921,(Nie)zdobyta. Tom 1
Yuval Noah Harari,5/2020,3298,339,71,"7,7",11372,21 lekcji na XXI wiek
Sarah J. Maas,5/2020,10436,1161,72,"7,7",21143,Szklany tron
Meghan March,5/2020,899,135,73,"7,6",1848,Pakt z diabłem
Izabela Janiszewska,5/2020,1212,437,74,"7,2",2311,Wrzask
Michaił Bułhakow,5/2020,2864,2854,75,"8,4",80814,Mistrz i Małgorzata
Ałbena Grabowska,5/2020,1662,335,76,"7,7",3517,Matki i córki
Katarzyna Bonda,5/2020,802,173,77,"7,0",1610,Motyw ukryty. Z archiwum profilera
Bogdan Lach,5/2020,1330,235,78,"7,3",2135,Przekręt
Jarosław Grzędowicz,5/2020,15057,1388,92,"8,0",31462,Pan Lodowego Ogrodu - tom I
Colson Whitehead,5/2020,1330,217,93,"7,2",3450,Miedziaki
K. Bromberg,5/2020,271,50,94,"7,3",569,Pojednanie
Colleen Hoover,5/2020,16446,2237,95,"8,3",29805,Hopeless
Rebecca F. Kuang,5/2020,2084,378,96,"7,6",5847,Wojna makowa
Sarah Brianne,5/2020,1227,206,97,"7,3",2454,Nero
Kim Holden,5/2020,5851,1048,98,"8,3",12783,Promyczek
Leigh Bardugo,5/2020,5924,694,99,"8,3",14513,Szóstka wron
Holly Black,5/2020,3728,506,100,"7,4",7918,Okrutny książę
Paulina Świst,5/2020,20351,2787,79,"8,0",36120,Zanim się pojawiłeś
Jojo Moyes,5/2020,871,116,80,"7,8",1554,Luca Vitiello
Beata Sabała-Zielińska,12/2020,351,82,81,"7,7",967,Pięć Stawów. Dom bez adresu
Jakub Szamałek,12/2020,3195,610,82,"7,5",5967,Cokolwiek wybierzesz
Dmitry Glukhovsky,12/2020,22100,2139,83,"7,8",41168,Metro 2033
Bridget Collins,12/2020,688,149,84,"7,1",2914,Księgi zapomnianych żyć
Yōko Ogawa,12/2020,2207,349,85,"7,8",5305,Ukochane równanie profesora
Sarah J. Maas,12/2020,10436,1161,86,"7,7",21143,Szklany tron
Elena Ferrante,12/2020,4053,471,87,"7,5",9341,Genialna przyjaciółka
Cora Reilly,12/2020,779,146,88,"8,0",1490,Złamana lojalność
Marcel Moss,12/2020,1527,442,89,"7,6",3542,Nie wiesz wszystkiego
Nassim Nicholas Taleb,12/2020,723,98,90,"7,4",4242,Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem
Łukasz Orbitowski,12/2020,2498,408,91,"7,7",5537,Kult
Shin Kyung-Sook,12/2020,59,18,92,"7,5",744,Dworska tancerka
Agnieszka Lingas-Łoniewska,12/2020,736,217,93,"7,6",1378,Molly
Erin Morgenstern,12/2020,999,144,94,"8,3",3483,Bezgwiezdne Morze
Anna Wolf,12/2020,630,126,95,"7,3",1228,Pokusa Gangstera
Holly Black,12/2020,3728,506,96,"7,4",7918,Okrutny książę
Clive Staples Lewis,12/2020,2824,263,97,"7,6",7145,Listy starego diabła do młodego
Gillian Flynn,12/2020,7510,1011,98,"7,6",15791,Zaginiona dziewczyna
Jarosław Grzędowicz,12/2020,15057,1388,99,"8,0",31462,Pan Lodowego Ogrodu - tom I
Anna Potyra,12/2020,218,84,100,"7,6",508,Potwory
Kristin Hannah,12/2020,8415,1266,41,"8,3",17094,Słowik
Dolores Redondo,12/2020,311,90,61,"7,4",1043,Kształt serca
Frank Herbert,12/2020,11739,941,42,"8,2",26017,Diuna
Rebecca Makkai,12/2020,1220,217,43,"7,8",4378,Wierzyliśmy jak nikt
Katarzyna Puzyńska,12/2020,969,192,44,"6,8",1708,Śreżoga
